Field.name	Description
bankssts	Banks Of Superior Temporal Sulcus
cdacate	Caudal Anterior Cingulate Cortex
cdmdfr	Caudal Middle Frontal Lobe
cuneus	Cuneus
ehinal	Entorhinal
fusiform	Fusiform
ifpl	Inferior Parietal Lobe
iftm	Inferior Temporal Lobe
ihcate	Isthmus Cingulate Cortex
locc	Lateral Occipital Lobe
lobfr	Lateral Orbito-Frontal Lobe
lingual	Lingual Lobe
mobfr	Medial Orbito-Frontal Lobe
mdtm	Middle Temporal Lobe
parahpal	Parahippocampus
paracn	Paracentral Gyrus
parsopc	Pars Opercularis
parsobis	Pars Orbitalis
parstgris	Pars Triangularis
pericc	Pericalcarine
postcn	Postcentral Gyrus
ptcate	Posterior Cingulate Cortex
precn	Precentral Gyrus
pc	Precuneus
rracate	Rostral Anterior Cingulate Cortex
rrmdfr	Rostral Middle Frontal Lobe
sufr	Superior Frontal Lobe
supl	Superior Parietal Lobe
sutm	Superior Temporal Lobe
sm	Supramarginal
frpole	Frontal Pole
tmpole	Temporal Pole
trvtm	Transversetemporal
insula	Insula
fx	Fornix
cc	Corpus Callosum
fmaj	Foreceps Major
fmin	Foreceps Minor
atr	Anterior Thalamic Radiations
cgc	Cingulate Cingulum
cgh	Parahippocampal Cingulum
cst	Corticospinal/Pyramidal
ifo	Inferior-Fronto-Occipital Fasiculus
ifsfc	Inferior Frontal Superior Frontal Cortex
ilf	Inferior Longitudinal Fasiculus
.pslf	Parietal Superior Longitudinal Fasiculus
scs	Superior Corticostriate
sifc	Striatal Inferior Frontal Cortex
\.slf	Superior Longitudinal Fasiculus
.tslf	Temporal Superior Longitudinal Fasiculus
unc	Uncinate Fasciculus
